Case ID;Activity;Start Date;End Date;Agent Position;Customer ID;Product;Service Type;Resource
Case 537;Email Outbound;21.3.10 14:36;21.3.10 14:38;FL;Customer 454;iPhone;Product Assistance;Mary
Case 542;Email Outbound;6.3.10 10:54;6.3.10 10:56;FL;Customer 459;iPhone;Product Assistance;Mary
Case 544;Email Outbound;6.3.10 11:20;6.3.10 11:29;FL;Customer 461;iPhone;Product Assistance;Mary
Case 547;Email Outbound;11.3.10 14:01;11.3.10 14:02;FL;Customer 462;iPhone;Product Assistance;Mary
Case 547;Email Outbound;18.3.10 7:47;18.3.10 7:51;FL;Customer 462;iPhone;Product Assistance;Samuil
Case 554;Email Outbound;18.3.10 9:28;18.3.10 9:28;FL;Customer 467;iPhone;Product Assistance;Patrick
Case 558;Email Outbound;6.3.10 9:05;6.3.10 9:05;FL;Customer 471;iPhone;Product Assistance;Mary
Case 564;Email Outbound;22.3.10 14:43;22.3.10 14:45;FL;Customer 475;iPhone;Product Assistance;Mary
Case 564;Email Outbound;22.3.10 14:45;22.3.10 14:46;FL;Customer 475;iPhone;Product Assistance;Mary
Case 578;Email Outbound;6.3.10 14:41;6.3.10 14:43;FL;Customer 486;iPhone;Product Assistance;Mary
Case 580;Email Outbound;25.3.10 11:00;25.3.10 11:01;FL;Customer 488;iPhone;Product Assistance;Samuil
Case 601;Email Outbound;6.3.10 10:03;6.3.10 10:10;FL;Customer 506;MacBook Pro;Product Assistance;Jochem
Case 621;Email Outbound;3.4.10 10:29;3.4.10 10:33;FL;Customer 525;iPhone;Product Assistance;Steffi
Case 630;Email Outbound;5.3.10 12:36;5.3.10 12:37;FL;Customer 532;MacBook Pro;Product Assistance;Samuil
Case 639;Email Outbound;20.3.10 7:04;20.3.10 7:05;FL;Customer 539;MacBook Pro;Product Assistance;Samuil
Case 659;Email Outbound;21.3.10 12:06;21.3.10 12:14;FL;Customer 557;iPhone;Product Assistance;Jochem
Case 659;Email Outbound;21.3.10 12:14;21.3.10 12:15;FL;Customer 557;iPhone;Product Assistance;Jochem
Case 662;Email Outbound;18.3.10 6:46;18.3.10 6:49;FL;Customer 560;iPhone;Referred to Servicer;Samuil
Case 662;Email Outbound;19.3.10 13:25;19.3.10 13:31;FL;Customer 560;iPhone;Referred to Servicer;Steffi
Case 662;Email Outbound;19.3.10 13:31;19.3.10 13:32;FL;Customer 560;iPhone;Referred to Servicer;Steffi
Case 662;Email Outbound;1.4.10 15:03;1.4.10 15:04;FL;Customer 560;iPhone;Referred to Servicer;Jochem
Case 662;Email Outbound;4.4.10 10:54;4.4.10 10:57;FL;Customer 560;iPhone;Referred to Servicer;Jochem
Case 662;Email Outbound;4.4.10 10:57;4.4.10 10:58;FL;Customer 560;iPhone;Referred to Servicer;Jochem
Case 666;Email Outbound;25.3.10 11:52;25.3.10 11:55;FL;Customer 564;MacBook Pro;Referred to Servicer;Jochem
Case 669;Email Outbound;14.3.10 11:33;14.3.10 11:34;FL;Customer 566;MacBook Pro;Product Assistance;Samuil
Case 682;Email Outbound;3.4.10 17:13;3.4.10 17:13;FL;Customer 578;iPhone;Product Assistance;Monique
Case 682;Email Outbound;3.4.10 17:20;3.4.10 17:21;FL;Customer 578;iPhone;Product Assistance;Monique
Case 685;Email Outbound;27.3.10 14:22;27.3.10 14:23;FL;Customer 581;iPhone;Product Assistance;Samuil
Case 688;Email Outbound;7.3.10 13:40;7.3.10 13:44;FL;Customer 584;MacBook Pro;Product Assistance;Jochem
Case 705;Email Outbound;1.4.10 11:26;1.4.10 11:39;FL;Customer 600;iPhone;Product Assistance;Steffi
Case 705;Email Outbound;1.4.10 11:39;1.4.10 11:40;FL;Customer 600;iPhone;Product Assistance;Steffi
Case 734;Email Outbound;2.4.10 13:13;2.4.10 13:13;FL;Customer 619;MacBook Pro;Product Assistance;Mariska
Case 739;Email Outbound;18.3.10 7:48;18.3.10 7:50;FL;Customer 624;iPhone;Product Assistance;Susi
Case 759;Email Outbound;8.3.10 10:08;8.3.10 10:10;FL;Customer 641;iPhone;Product Assistance;Mary
Case 767;Email Outbound;13.3.10 8:54;13.3.10 9:05;FL;Customer 647;iPhone;Product Assistance;Samuil
Case 767;Email Outbound;13.3.10 9:05;13.3.10 9:09;FL;Customer 647;iPhone;Product Assistance;Samuil
Case 775;Email Outbound;14.3.10 14:40;14.3.10 14:41;FL;Customer 652;iPhone;Product Assistance;Wil
Case 777;Email Outbound;7.3.10 11:53;7.3.10 12:25;FL;Customer 654;iPhone;Product Assistance;Samuil
Case 789;Email Outbound;2.4.10 14:01;2.4.10 14:04;FL;Customer 664;iPhone;Product Assistance;Mary
Case 797;Email Outbound;13.3.10 14:00;13.3.10 14:07;FL;Customer 671;iPhone;Product Assistance;Samuil
Case 816;Email Outbound;18.3.10 12:04;18.3.10 12:04;FL;Customer 687;iPhone;Referred to Servicer;Samuil
Case 819;Email Outbound;25.3.10 14:59;25.3.10 15:01;FL;Customer 690;MacBook Pro;Referred to Servicer;Mary
Case 820;Email Outbound;5.3.10 11:00;5.3.10 11:08;FL;Customer 691;MacBook Pro;Referred to Servicer;Jochem
Case 820;Email Outbound;5.3.10 11:08;5.3.10 11:09;FL;Customer 691;MacBook Pro;Referred to Servicer;Jochem
Case 834;Email Outbound;14.3.10 14:30;14.3.10 14:30;FL;Customer 703;iPhone;Product Assistance;Wil
Case 836;Email Outbound;28.3.10 12:35;28.3.10 12:35;FL;Customer 705;iPhone;Product Assistance;Monique
Case 836;Email Outbound;28.3.10 12:40;28.3.10 12:43;FL;Customer 705;iPhone;Product Assistance;Monique
Case 845;Email Outbound;3.4.10 13:50;3.4.10 13:58;FL;Customer 714;MacBook Pro;Product Assistance;Jochem
Case 849;Email Outbound;29.3.10 12:58;29.3.10 12:59;FL;Customer 718;iPhone;Product Assistance;Richard
Case 852;Email Outbound;25.3.10 14:06;25.3.10 14:10;FL;Customer 721;MacBook Pro;Product Assistance;Steffi
Case 877;Email Outbound;19.3.10 9:54;19.3.10 9:55;FL;Customer 743;iPhone;Product Assistance;Samuil
Case 879;Email Outbound;27.3.10 9:06;27.3.10 9:11;FL;Customer 745;MacBook Pro;Product Assistance;Mariska
Case 880;Email Outbound;28.3.10 6:46;28.3.10 6:47;FL;Customer 746;iPhone;Product Assistance;Samuil
Case 883;Email Outbound;6.3.10 11:56;6.3.10 11:58;FL;Customer 749;iPhone;Product Assistance;Mary
Case 902;Email Outbound;1.4.10 13:01;1.4.10 13:02;FL;Customer 762;MacBook Pro;Product Assistance;Christian
Case 906;Email Outbound;26.3.10 10:05;26.3.10 10:10;FL;Customer 766;iPhone;Referred to Servicer;Samuil
Case 906;Email Outbound;27.3.10 12:08;27.3.10 12:09;FL;Customer 766;iPhone;Referred to Servicer;Samuil
Case 912;Email Outbound;6.3.10 8:56;6.3.10 8:58;FL;Customer 771;iPhone;Referred to Servicer;Mary
Case 923;Email Outbound;13.3.10 16:12;13.3.10 16:12;FL;Customer 779;iPhone;Product Assistance;Mary
Case 923;Email Outbound;13.3.10 16:13;13.3.10 16:21;FL;Customer 779;iPhone;Product Assistance;Mary
Case 932;Email Outbound;5.3.10 11:54;5.3.10 11:57;FL;Customer 786;MacBook Pro;Product Assistance;Jochem
Case 935;Email Outbound;8.3.10 11:22;8.3.10 11:22;FL;Customer 788;MacBook Pro;Product Assistance;Samuil
Case 944;Email Outbound;26.3.10 11:33;26.3.10 11:34;FL;Customer 796;iPhone;Referred to Servicer;Susi
Case 952;Email Outbound;18.3.10 16:12;18.3.10 16:12;FL;Customer 800;MacBook Pro;Product Assistance;Mary
Case 986;Email Outbound;1.4.10 11:56;1.4.10 11:56;FL;Customer 824;iPhone;Product Assistance;Mary
Case 993;Email Outbound;5.3.10 13:46;5.3.10 13:50;FL;Customer 831;iPhone;Product Assistance;Samuil
Case 1003;Email Outbound;6.3.10 11:52;6.3.10 11:53;FL;Customer 840;iPhone;Referred to Servicer;Mary
Case 1019;Email Outbound;7.3.10 12:25;7.3.10 12:26;FL;Customer 854;MacBook Pro;Referred to Servicer;Jochem
Case 1019;Email Outbound;7.3.10 12:26;7.3.10 12:27;FL;Customer 854;MacBook Pro;Referred to Servicer;Jochem
Case 1022;Email Outbound;11.3.10 12:08;11.3.10 12:19;FL;Customer 855;iPhone;Product Assistance;Steffi
Case 1039;Email Outbound;19.3.10 7:56;19.3.10 7:56;FL;Customer 869;MacBook Pro;Product Assistance;Samuil
Case 1056;Email Outbound;5.3.10 13:13;5.3.10 13:20;FL;Customer 882;iPhone;Product Assistance;Samuil
Case 1068;Email Outbound;6.3.10 8:39;6.3.10 8:39;FL;Customer 893;MacBook Pro;Product Assistance;Mary
Case 1076;Email Outbound;11.3.10 12:21;11.3.10 12:21;FL;Customer 900;iPhone;Product Assistance;Richard
Case 1079;Email Outbound;5.3.10 12:21;5.3.10 12:24;FL;Customer 903;MacBook Pro;Product Assistance;Jochem
Case 1079;Email Outbound;5.3.10 12:24;5.3.10 12:25;FL;Customer 903;MacBook Pro;Product Assistance;Jochem
Case 1089;Email Outbound;5.3.10 12:02;5.3.10 12:02;FL;Customer 912;MacBook Pro;Product Assistance;Samuil
Case 1104;Email Outbound;28.3.10 12:25;28.3.10 12:32;FL;Customer 927;MacBook Pro;Product Assistance;Irena
Case 1109;Email Outbound;6.3.10 15:06;6.3.10 15:07;FL;Customer 932;iPhone;Referred to Servicer;Mary
Case 1112;Email Outbound;6.3.10 15:49;6.3.10 15:50;FL;Customer 935;iPhone;Referred to Servicer;Mary
Case 1112;Email Outbound;6.3.10 15:50;6.3.10 15:50;FL;Customer 935;iPhone;Referred to Servicer;Mary
Case 1144;Email Outbound;19.3.10 15:13;19.3.10 15:16;FL;Customer 963;MacBook Pro;Product Assistance;Jochem
Case 1144;Email Outbound;21.3.10 10:36;21.3.10 10:39;FL;Customer 963;MacBook Pro;Product Assistance;Jochem
Case 1166;Email Outbound;26.3.10 10:22;26.3.10 10:23;FL;Customer 982;iPhone;Product Assistance;Susi
Case 1166;Email Outbound;26.3.10 10:23;26.3.10 10:24;FL;Customer 982;iPhone;Product Assistance;Susi
Case 1167;Email Outbound;1.4.10 16:41;1.4.10 16:42;FL;Customer 983;MacBook Pro;Product Assistance;Christian
Case 1167;Email Outbound;1.4.10 17:30;1.4.10 17:30;FL;Customer 983;MacBook Pro;Product Assistance;Harold
Case 1167;Email Outbound;1.4.10 17:30;1.4.10 17:31;FL;Customer 983;MacBook Pro;Product Assistance;Harold
Case 1167;Email Outbound;1.4.10 17:31;1.4.10 17:40;FL;Customer 983;MacBook Pro;Product Assistance;Harold
Case 1167;Email Outbound;1.4.10 17:40;1.4.10 17:41;FL;Customer 983;MacBook Pro;Product Assistance;Harold
Case 1167;Email Outbound;1.4.10 17:41;1.4.10 17:41;FL;Customer 983;MacBook Pro;Product Assistance;Harold
Case 1171;Email Outbound;15.3.10 14:16;15.3.10 14:18;FL;Customer 987;MacBook Pro;Product Assistance;Samuil
Case 1171;Email Outbound;15.3.10 14:18;15.3.10 14:19;FL;Customer 987;MacBook Pro;Product Assistance;Samuil
Case 1171;Email Outbound;18.3.10 12:41;18.3.10 12:44;FL;Customer 987;MacBook Pro;Product Assistance;Mary
Case 1171;Email Outbound;18.3.10 12:44;18.3.10 12:45;FL;Customer 987;MacBook Pro;Product Assistance;Mary
Case 1182;Email Outbound;26.3.10 9:15;26.3.10 9:16;FL;Customer 995;iPhone;Product Assistance;Mariska
Case 1197;Email Outbound;7.3.10 14:41;7.3.10 14:42;FL;Customer 1009;iPhone;Product Assistance;Mary
Case 1204;Email Outbound;5.3.10 11:15;5.3.10 11:15;FL;Customer 1014;MacBook Pro;Product Assistance;Mary
Case 1205;Email Outbound;6.3.10 15:35;6.3.10 15:41;FL;Customer 1015;MacBook Pro;Product Assistance;Mary
Case 1206;Email Outbound;6.3.10 12:32;6.3.10 12:33;FL;Customer 1016;MacBook Pro;Product Assistance;Jochem
Case 1218;Email Outbound;25.3.10 12:25;25.3.10 12:30;FL;Customer 1025;iPhone;Referred to Servicer;Mary
Case 1219;Email Outbound;19.3.10 11:46;19.3.10 11:49;FL;Customer 1026;MacBook Pro;Product Assistance;Jochem
Case 1232;Email Outbound;12.3.10 13:07;12.3.10 13:16;FL;Customer 416;iPhone;Referred to Servicer;Richard
Case 1232;Email Outbound;12.3.10 13:16;12.3.10 13:21;FL;Customer 416;iPhone;Referred to Servicer;Richard
Case 1236;Email Outbound;7.3.10 6:29;7.3.10 6:38;FL;Customer 1036;MacBook Pro;Product Assistance;Samuil
Case 1239;Email Outbound;2.4.10 11:27;2.4.10 11:28;FL;Customer 1039;MacBook Pro;Product Assistance;Mary
Case 1248;Email Outbound;19.3.10 14:14;19.3.10 14:15;FL;Customer 1045;iPhone;Referred to Servicer;Samuil
Case 1249;Email Outbound;26.3.10 10:18;26.3.10 10:20;FL;Customer 1046;iPhone;Product Assistance;Samuil
Case 1250;Email Outbound;14.3.10 12:21;14.3.10 12:25;FL;Customer 1047;iPhone;Referred to Servicer;Susi
Case 1283;Email Outbound;29.3.10 15:33;29.3.10 15:35;FL;Customer 1077;iPhone;Product Assistance;Mary
Case 1283;Email Outbound;29.3.10 15:35;29.3.10 15:37;FL;Customer 1077;iPhone;Product Assistance;Mary
Case 1285;Email Outbound;14.3.10 13:43;14.3.10 13:43;FL;Customer 1079;MacBook Pro;Referred to Servicer;Samuil
Case 1322;Email Outbound;1.4.10 10:16;1.4.10 10:21;FL;Customer 1109;iPhone;Product Assistance;Steffi
Case 1324;Email Outbound;20.3.10 12:37;20.3.10 12:37;FL;Customer 1111;MacBook Pro;Product Assistance;Mary
Case 1326;Email Outbound;28.3.10 13:01;28.3.10 13:06;FL;Customer 1113;iPhone;Product Assistance;Richard
Case 1330;Email Outbound;26.3.10 10:57;26.3.10 11:00;FL;Customer 1077;iPhone;Referred to Servicer;Susi
Case 1335;Email Outbound;13.3.10 12:34;13.3.10 12:45;FL;Customer 1120;MacBook Pro;Product Assistance;Anne
Case 1335;Email Outbound;25.3.10 14:13;25.3.10 14:37;FL;Customer 1120;MacBook Pro;Product Assistance;Anne
Case 1337;Email Outbound;25.3.10 13:33;25.3.10 13:35;FL;Customer 1122;MacBook Pro;Product Assistance;Steffi
Case 1337;Email Outbound;25.3.10 13:35;25.3.10 13:35;FL;Customer 1122;MacBook Pro;Product Assistance;Steffi
Case 1338;Email Outbound;13.3.10 14:15;13.3.10 14:15;FL;Customer 1123;iPhone;Referred to Servicer;Mary
Case 1353;Email Outbound;7.3.10 12:24;7.3.10 12:24;FL;Customer 1137;iPhone;Product Assistance;Jochem
Case 1360;Email Outbound;19.3.10 13:46;19.3.10 13:47;FL;Customer 1144;iPhone;Product Assistance;Samuil
Case 1360;Email Outbound;19.3.10 13:47;19.3.10 13:49;FL;Customer 1144;iPhone;Product Assistance;Samuil
Case 1383;Email Outbound;6.3.10 12:31;6.3.10 12:31;FL;Customer 1162;iPhone;Referred to Servicer;Mary
Case 1385;Email Outbound;6.3.10 12:17;6.3.10 12:19;FL;Customer 1164;iPhone;Referred to Servicer;Mary
Case 1386;Email Outbound;26.3.10 6:43;26.3.10 6:45;FL;Customer 1165;iPhone;Referred to Servicer;Samuil
Case 1386;Email Outbound;26.3.10 6:45;26.3.10 6:46;FL;Customer 1165;iPhone;Referred to Servicer;Samuil
Case 1397;Email Outbound;2.4.10 13:02;2.4.10 13:08;FL;Customer 1174;iPhone;Referred to Servicer;Mary
Case 1412;Email Outbound;13.3.10 13:06;13.3.10 13:06;FL;Customer 1185;MacBook Pro;Product Assistance;Mary
Case 1417;Email Outbound;15.3.10 10:44;15.3.10 10:45;FL;Customer 1190;MacBook Pro;Product Assistance;Henk
Case 1437;Email Outbound;15.3.10 11:53;15.3.10 12:19;FL;Customer 1207;iPhone;Product Assistance;Richard
Case 1437;Email Outbound;15.3.10 12:19;15.3.10 12:21;FL;Customer 1207;iPhone;Product Assistance;Richard
Case 1455;Email Outbound;11.3.10 14:05;11.3.10 14:11;FL;Customer 1223;MacBook Pro;Product Assistance;Steffi
Case 1460;Email Outbound;25.3.10 14:47;25.3.10 14:50;FL;Customer 1227;MacBook Pro;Product Assistance;Mary
Case 1460;Email Outbound;25.3.10 14:50;25.3.10 14:51;FL;Customer 1227;MacBook Pro;Product Assistance;Mary
Case 1462;Email Outbound;29.3.10 13:00;29.3.10 13:05;FL;Customer 1228;iPhone;Product Assistance;Richard
Case 1465;Email Outbound;18.3.10 8:04;18.3.10 8:05;FL;Customer 1231;iPhone;Referred to Servicer;Susi
Case 1466;Email Outbound;18.3.10 16:22;18.3.10 16:27;FL;Customer 1232;MacBook Pro;Referred to Servicer;Mary
Case 1466;Email Outbound;19.3.10 12:12;19.3.10 12:13;FL;Customer 1232;MacBook Pro;Referred to Servicer;Mary
Case 1473;Email Outbound;5.3.10 11:37;5.3.10 11:41;FL;Customer 1238;MacBook Pro;Product Assistance;Mary
Case 1488;Email Outbound;25.3.10 11:11;25.3.10 11:12;FL;Customer 1250;iPhone;Product Assistance;Mary
Case 1504;Email Outbound;6.3.10 11:08;6.3.10 11:10;FL;Customer 1265;iPhone;Product Assistance;Mary
Case 1512;Email Outbound;19.3.10 6:47;19.3.10 6:48;FL;Customer 1269;iPhone;Product Assistance;Samuil
Case 1534;Email Outbound;21.3.10 11:25;21.3.10 11:26;FL;Customer 1284;iPhone;Referred to Servicer;Jochem
Case 1534;Email Outbound;21.3.10 11:26;21.3.10 11:27;FL;Customer 1284;iPhone;Referred to Servicer;Jochem
Case 1548;Email Outbound;27.3.10 12:35;27.3.10 12:41;FL;Customer 1295;iPhone;Product Assistance;Irena
Case 1588;Email Outbound;6.3.10 11:06;6.3.10 11:12;FL;Customer 1330;iPhone;Referred to Servicer;Steffi
Case 1588;Email Outbound;6.3.10 11:12;6.3.10 11:13;FL;Customer 1330;iPhone;Referred to Servicer;Steffi
Case 1608;Email Outbound;6.3.10 12:05;6.3.10 12:06;FL;Customer 1348;MacBook Pro;Product Assistance;Jochem
Case 1630;Email Outbound;15.3.10 9:04;15.3.10 9:12;FL;Customer 1369;iPhone;Referred to Servicer;Susi
Case 1646;Email Outbound;18.3.10 12:49;18.3.10 12:54;FL;Customer 1383;MacBook Pro;Product Assistance;Mary
Case 1646;Email Outbound;18.3.10 12:54;18.3.10 12:55;FL;Customer 1383;MacBook Pro;Product Assistance;Mary
Case 1648;Email Outbound;8.3.10 8:05;8.3.10 8:18;FL;Customer 1385;iPhone;Product Assistance;Susi
Case 1675;Email Outbound;8.3.10 10:00;8.3.10 10:03;FL;Customer 1409;iPhone;Product Assistance;Mary
Case 1675;Email Outbound;8.3.10 10:03;8.3.10 10:04;FL;Customer 1409;iPhone;Product Assistance;Mary
Case 1676;Email Outbound;8.3.10 12:10;8.3.10 12:20;FL;Customer 1410;iPhone;Product Assistance;Susi
Case 1676;Email Outbound;8.3.10 12:23;8.3.10 12:23;FL;Customer 1410;iPhone;Product Assistance;Susi
Case 1676;Email Outbound;8.3.10 12:23;8.3.10 12:23;FL;Customer 1410;iPhone;Product Assistance;Susi
Case 1676;Email Outbound;8.3.10 12:23;8.3.10 12:23;FL;Customer 1410;iPhone;Product Assistance;Susi
Case 1676;Email Outbound;8.3.10 12:24;8.3.10 12:25;FL;Customer 1410;iPhone;Product Assistance;Susi
Case 1676;Email Outbound;8.3.10 12:31;8.3.10 12:32;FL;Customer 1410;iPhone;Product Assistance;Susi
Case 1684;Email Outbound;19.3.10 7:16;19.3.10 7:17;FL;Customer 1418;iPhone;Referred to Servicer;Samuil
Case 1684;Email Outbound;21.3.10 8:56;21.3.10 8:58;FL;Customer 1418;iPhone;Referred to Servicer;Samuil
Case 1684;Email Outbound;21.3.10 8:58;21.3.10 8:59;FL;Customer 1418;iPhone;Referred to Servicer;Samuil
Case 1690;Email Outbound;2.4.10 14:26;2.4.10 14:27;FL;Customer 1422;iPhone;Referred to Servicer;Jochem
Case 1708;Email Outbound;6.3.10 10:19;6.3.10 10:21;FL;Customer 1437;iPhone;Referred to Servicer;Mary
Case 1766;Email Outbound;6.3.10 10:24;6.3.10 10:26;FL;Customer 1485;MacBook Pro;Referred to Servicer;Mary
Case 1769;Email Outbound;19.3.10 8:10;19.3.10 8:12;FL;Customer 1486;iPhone;Product Assistance;Samuil
Case 1773;Email Outbound;14.3.10 12:45;14.3.10 12:48;FL;Customer 1490;iPhone;Referred to Servicer;Susi
Case 1773;Email Outbound;14.3.10 12:48;14.3.10 12:50;FL;Customer 1490;iPhone;Referred to Servicer;Susi
Case 1782;Email Outbound;18.3.10 11:33;18.3.10 11:36;FL;Customer 1498;MacBook Pro;Product Assistance;Henk
Case 1785;Email Outbound;13.3.10 10:16;13.3.10 10:17;FL;Customer 1501;iPhone;Product Assistance;Samuil
Case 1791;Email Outbound;3.4.10 11:27;3.4.10 11:28;FL;Customer 1504;iPhone;Product Assistance;Mariska
Case 1801;Email Outbound;7.3.10 13:49;7.3.10 13:51;FL;Customer 1511;iPhone;Product Assistance;Mary
Case 1803;Email Outbound;18.3.10 13:10;18.3.10 13:12;FL;Customer 1513;iPhone;Product Assistance;Richard
Case 1803;Email Outbound;18.3.10 13:12;18.3.10 13:13;FL;Customer 1513;iPhone;Product Assistance;Richard
Case 1808;Email Outbound;19.3.10 11:56;19.3.10 11:57;FL;Customer 1517;MacBook Pro;Product Assistance;Jochem
Case 1808;Email Outbound;19.3.10 11:57;19.3.10 12:02;FL;Customer 1517;MacBook Pro;Product Assistance;Jochem
Case 1813;Email Outbound;27.3.10 11:25;27.3.10 11:28;FL;Customer 1521;MacBook Pro;Product Assistance;Jochem
Case 1813;Email Outbound;27.3.10 11:28;27.3.10 11:29;FL;Customer 1521;MacBook Pro;Product Assistance;Jochem
Case 1826;Email Outbound;13.3.10 6:49;13.3.10 6:55;FL;Customer 1532;iPhone;Product Assistance;Samuil
Case 1838;Email Outbound;12.3.10 16:28;12.3.10 16:36;FL;Customer 1542;iPhone;Referred to Servicer;Steffi
Case 1838;Email Outbound;12.3.10 16:36;12.3.10 16:37;FL;Customer 1542;iPhone;Referred to Servicer;Steffi
Case 1849;Email Outbound;22.3.10 15:08;22.3.10 15:10;FL;Customer 1552;MacBook Pro;Referred to Servicer;Mary
Case 1850;Email Outbound;18.3.10 7:56;18.3.10 8:02;FL;Customer 1553;iPhone;Product Assistance;Samuil
Case 1850;Email Outbound;18.3.10 8:02;18.3.10 8:04;FL;Customer 1553;iPhone;Product Assistance;Samuil
Case 1851;Email Outbound;20.3.10 8:46;20.3.10 8:48;FL;Customer 1554;iPhone;Referred to Servicer;Samuil
Case 1854;Email Outbound;20.3.10 9:06;20.3.10 9:08;FL;Customer 1557;MacBook Pro;Product Assistance;David
Case 1869;Email Outbound;13.3.10 12:45;13.3.10 12:45;FL;Customer 1570;MacBook Pro;Product Assistance;Mary
Case 1880;Email Outbound;26.3.10 6:57;26.3.10 6:57;FL;Customer 1579;iPhone;Product Assistance;Samuil
Case 1882;Email Outbound;28.3.10 10:52;28.3.10 10:53;FL;Customer 1581;iPhone;Product Assistance;Steffi
Case 1882;Email Outbound;28.3.10 10:56;28.3.10 10:56;FL;Customer 1581;iPhone;Product Assistance;Steffi
Case 1884;Email Outbound;28.3.10 12:56;28.3.10 13:02;FL;Customer 1583;iPhone;Product Assistance;Susi
Case 1884;Email Outbound;28.3.10 13:02;28.3.10 13:05;FL;Customer 1583;iPhone;Product Assistance;Susi
Case 1896;Email Outbound;7.3.10 16:21;7.3.10 16:21;FL;Customer 1594;iPhone;Product Assistance;Jochem
Case 1902;Email Outbound;5.3.10 10:54;5.3.10 10:56;FL;Customer 1599;iPhone;Product Assistance;Mary
Case 1902;Email Outbound;7.3.10 13:00;7.3.10 13:04;FL;Customer 1599;iPhone;Product Assistance;Mary
Case 1905;Email Outbound;26.3.10 11:23;26.3.10 11:30;FL;Customer 1602;MacBook Pro;Product Assistance;Mariska
Case 1908;Email Outbound;2.4.10 7:23;2.4.10 7:32;FL;Customer 1605;MacBook Pro;Product Assistance;Mariska
Case 1908;Email Outbound;2.4.10 7:32;2.4.10 7:33;FL;Customer 1605;MacBook Pro;Product Assistance;Mariska
Case 1922;Email Outbound;5.3.10 10:50;5.3.10 10:52;FL;Customer 1618;iPhone;Referred to Servicer;Mary
Case 1953;Email Outbound;12.3.10 12:54;12.3.10 12:55;FL;Customer 440;iPhone;Product Assistance;Susi
Case 1953;Email Outbound;12.3.10 12:55;12.3.10 12:58;FL;Customer 440;iPhone;Product Assistance;Susi
Case 1954;Email Outbound;1.4.10 11:07;1.4.10 11:13;FL;Customer 1643;iPhone;Product Assistance;Steffi
Case 1970;Email Outbound;12.3.10 14:16;12.3.10 14:18;FL;Customer 1652;MacBook Pro;Product Assistance;Steffi
Case 1970;Email Outbound;12.3.10 14:18;12.3.10 14:19;FL;Customer 1652;MacBook Pro;Product Assistance;Steffi
Case 1992;Email Outbound;6.3.10 12:06;6.3.10 12:07;FL;Customer 1667;iPhone;Product Assistance;Mary
Case 1992;Email Outbound;6.3.10 12:07;6.3.10 12:08;FL;Customer 1667;iPhone;Product Assistance;Mary
Case 1999;Email Outbound;3.4.10 12:30;3.4.10 12:31;FL;Customer 1673;iPhone;Product Assistance;Jochem
Case 1999;Email Outbound;12.4.10 14:42;12.4.10 14:43;FL;Customer 1673;iPhone;Product Assistance;Wil
Case 2003;Email Outbound;1.4.10 12:57;1.4.10 13:00;FL;Customer 1674;iPhone;Referred to Servicer;Mary
Case 2003;Email Outbound;1.4.10 13:00;1.4.10 13:01;FL;Customer 1674;iPhone;Referred to Servicer;Mary
Case 2011;Email Outbound;19.3.10 13:14;19.3.10 13:14;FL;Customer 1682;MacBook Pro;Referred to Servicer;Jochem
Case 2011;Email Outbound;20.3.10 6:34;20.3.10 6:36;FL;Customer 1682;MacBook Pro;Referred to Servicer;Samuil
Case 2011;Email Outbound;21.3.10 15:06;21.3.10 15:09;FL;Customer 1682;MacBook Pro;Referred to Servicer;Steffi
Case 2025;Email Outbound;6.3.10 12:23;6.3.10 12:25;FL;Customer 1694;iPhone;Product Assistance;Jochem
Case 2025;Email Outbound;6.3.10 12:25;6.3.10 12:26;FL;Customer 1694;iPhone;Product Assistance;Jochem
Case 2026;Email Outbound;6.3.10 12:33;6.3.10 12:33;FL;Customer 1695;iPhone;Product Assistance;Mary
Case 2026;Email Outbound;6.3.10 12:34;6.3.10 12:35;FL;Customer 1695;iPhone;Product Assistance;Mary
Case 2049;Email Outbound;27.3.10 11:38;27.3.10 11:38;FL;Customer 1715;iPhone;Product Assistance;Ton
Case 2063;Email Outbound;7.3.10 13:09;7.3.10 13:10;FL;Customer 1728;iPhone;Product Assistance;Mary
Case 2080;Email Outbound;7.3.10 14:54;7.3.10 14:56;FL;Customer 1744;iPhone;Referred to Servicer;Mary
Case 2081;Email Outbound;12.3.10 12:19;12.3.10 12:19;FL;Customer 1745;iPhone;Product Assistance;Mary
Case 2097;Email Outbound;5.3.10 13:09;5.3.10 13:12;FL;Customer 1758;iPhone;Product Assistance;Richard
Case 2097;Email Outbound;5.3.10 13:12;5.3.10 13:14;FL;Customer 1758;iPhone;Product Assistance;Richard
Case 2115;Email Outbound;11.3.10 11:27;11.3.10 11:28;FL;Customer 1775;iPhone;Referred to Servicer;Susi
Case 2119;Email Outbound;18.3.10 14:32;18.3.10 14:32;FL;Customer 1779;MacBook Pro;Product Assistance;Wil
Case 2145;Email Outbound;5.3.10 13:46;5.3.10 13:47;FL;Customer 1802;iPhone;Product Assistance;Rachel
Case 2147;Email Outbound;7.3.10 14:27;7.3.10 14:35;FL;Customer 1803;MacBook Pro;Product Assistance;Mary
Case 2148;Email Outbound;12.3.10 16:05;12.3.10 16:06;FL;Customer 1804;MacBook Pro;Product Assistance;Mary
